author,avgrating,awards,five_stars,four_stars,genre,numpages,one_stars,origpubdate,pubyear,pubdate,publisher,three_stars,title,totalratings,totalreviews,two_stars
David Levithan,3.85,,19217,17057,Young Adult,185,2178,September 9th 2003,2003,May 10th 2005,Alfred A. Knopf,13110,Boy Meets Boy,55486,3404,3924
Misty Bernall,3.9,,4766,3883,Nonfiction,140,358,September 9th 1999,1999,January 1st 2002,Plough Publishing House,3117,She Said Yes: The Unlikely Martyrdom of Cassie Bernall,13062,633,938
Nicholas D. Kristof,4.3,,22760,13754,Nonfiction,294,533,September 8th 2008,2008,September 8th 2009,Knopf Publishing Group,5525,Half the Sky: Turning Oppression Into Opportunity for Women Worldwide,43828,4806,1256
Nicholas Sparks,4.14,Goodreads Choice Award for Chick Lit (2009),206519,146877,Romance,390,7613,September 8th 2008,2008,September 8th 2009,Grand Central Publishing,81001,The Last Song,460561,11294,18551
Susanna Clarke,3.81,"Hugo Award for Best Novel (2005),Man Booker Prize Nominee for Longlist (2004),Nebula Award Nominee for Best Novel (2005),Locus Award for Best First Novel (2005),Guardian First Book Award Nominee (2004)",56990,52046,Historical,1006,8534,September 8th 2004,2004,August 1st 2006,Tor Books,33035,Jonathan Strange & Mr Norrell,165445,12138,14840
Spencer Johnson,3.76,,89673,85834,Business,96,13343,September 8th 1998,1998,February 7th 2002,Vermilion,67487,Who Moved My Cheese?,281486,8764,25149
Simon Singh,4.23,,8766,8165,Science,315,118,September 8th 1997,1997,September 8th 1998,Anchor,2922,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,20381,864,410
Alan Moore,4.35,,244248,122763,Sequential Art,416,6875,September 8th 1987,1987,2005,DC Comics,47034,Watchmen,433317,11417,12397
Stephen King,3.67,British Fantasy Award for Best Novel (1982),45063,57603,Horror,432,4407,September 8th 1981,1981,June 6th 2006,Plaza y Janés,57796,Cujo,181807,3237,16938
Augusten Burroughs,3.55,,2964,4321,Fiction,229,460,September 7th 2000,2000,June 1st 2003,Picador,4585,Sellevision,14017,894,1687
Guy Gavriel Kay,4.15,,4447,4259,Fantasy,448,122,September 7th 1998,1998,November 4th 2002,Earthlight,1755,Sailing to Sarantium,10913,463,330
Robert T. Bakker,3.9,,2369,2371,Fiction,256,146,September 7th 1995,1995,August 1st 1996,Bantam,1723,Raptor Red,7074,367,465
Margot Lee Shetterly,3.94,,14103,14930,Nonfiction,368,879,September 6th 2016,2016,December 6th 2016,William Morrow Paperbacks,8812,Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,41197,5737,2473
Meg Cabot,3.66,,8923,11698,Young Adult,259,588,September 6th 2002,2002,March 25th 2003,HarperTrophy,13258,Princess in Waiting,37795,903,3328
Jane Green,3.61,,6487,9672,Womens Fiction,464,877,September 6th 2001,2001,March 23rd 2004,Broadway Books,10113,Babyville,29849,605,2700
Sébastien Japrisot,3.91,,1517,2097,Cultural,327,87,September 6th 1991,1991,September 1st 1994,Plume,1200,A Very Long Engagement,5173,474,272
Anita Brookner,3.58,Man Booker Prize (1984),2470,4694,Fiction,182,362,September 6th 1984,1984,October 3rd 1995,Vintage Books,4263,Hotel du Lac,13137,801,1348
Katja Millay,4.33,"ALA Alex Award (2014),Goodreads Choice Award Nominee for Best Young Adult Fiction (2012)",39976,19045,Young Adult,426,1341,September 5th 2012,2012,November 13th 2012,Atria Books,7791,The Sea of Tranquility,70494,9028,2341
Hiro Fujiwara,4.4,,23368,8211,Sequential Art,208,501,September 5th 2006,2006,April 1st 2009,TokyoPop,4353,Maid-sama! Vol. 01,37592,430,1159
Stacy Schiff,3.62,"PEN/Jacqueline Bograd Weld Award for Biography (2011),Goodreads Choice Award Nominee for History and Biography (2010)",20987,24510,History,302,5042,September 5th 2006,2006,November 1st 2010,"Little, Brown and Company",19983,Cleopatra: A Life,78107,4699,7585
Julia Glass,3.56,National Book Award for Fiction (2002),6932,13505,Fiction,368,1067,September 5th 2002,2002,April 22nd 2003,Anchor,12759,Three Junes,38031,2399,3768
Stanley Wiater,4.13,,3004,1399,Horror,478,174,September 5th 2000,2000,May 21st 2001,Renaissance Books,1107,The Stephen King Universe: A Guide to the Worlds of the King of Horror,5993,42,309
Tom Robbins,4.02,,9128,8688,Fiction,445,364,September 5th 2000,2000,May 29th 2001,Bantam,4981,Fierce Invalids Home from Hot Climates,24442,1166,1281
Tracey Garvis-Graves,4.13,,28519,23364,Romance,346,1039,September 4th 2011,2011,August 16th 2012,Penguin,11041,On the Island,66804,8149,2841
Jeffrey Eugenides,3.99,"Pulitzer Prize for Fiction (2003),James Tait Black Memorial Prize Nominee for Fiction (2003),Ambassador Book Award for Fiction (2003),Audie Award for Fiction, Unabridged (2003)",207240,178039,Fiction,529,19789,September 4th 2002,2002,September 16th 2003,Picador USA,92638,Middlesex,529050,21519,31344
Elizabeth Haydon,3.95,,6502,5804,Fantasy,656,516,September 4th 1999,1999,June 15th 2000,Tor Fantasy,3575,Rhapsody: Child of Blood,17533,510,1136
William Gibson,3.79,,4136,7689,Science Fiction,308,147,September 4th 1996,1996,January 7th 2003,Berkley Trade,5594,Idoru,18597,461,1031
Katsuhiro Otomo,4.44,,4077,2426,Sequential Art,301,20,September 4th 1985,1985,April 3rd 2001,Dark Horse,669,"Akira, Vol. 2",7270,167,78
Edward Rutherfurd,4.11,,9902,10359,Historical,862,242,September 3rd 2009,2009,September 21st 2010,Ballantine Books,4536,New York,25918,2569,879
Lee Child,4.21,,25196,25225,Thriller,400,270,September 30th 2010,2010,October 19th 2010,Delacorte Press,9244,Worth Dying For,61077,2818,1142
Nicholas Sparks,3.99,,50823,45180,Romance,303,2308,September 30th 2007,2007,December 22nd 2015,Grand Central Publishing,29783,The Choice,135765,7054,7671
Irène Némirovsky,3.82,,14468,20340,Historical,431,1179,September 30th 2004,2004,April 10th 2007,Vintage,12705,Suite Française,52464,5878,3772
David Baldacci,3.99,,14244,20862,Mystery,512,490,September 30th 2003,2003,September 1st 2004,Vision,10257,Split Second,47403,1978,1550
David Baldacci,3.95,,6022,7170,Fiction,432,283,September 30th 2000,2000,April 3rd 2007,Grand Central Publishing,4112,Wish You Well,18583,2145,996
Laurell K. Hamilton,4.01,,19847,14934,Fantasy,468,1298,September 30th 2000,2000,March 28th 2006,Ballantine Books,9520,A Kiss of Shadows,48591,1714,2992
Philip Gourevitch,4.27,,10860,7716,Nonfiction,356,344,September 30th 1998,1998,September 4th 1999,Picador USA,2743,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,22231,1403,568
Margret Rey,4.28,,5331,2255,Childrens,32,118,September 30th 1985,1985,October 28th 1985,Houghton Mifflin Company,1652,Curious George Visits the Zoo,9665,87,309
Marc Brown,4.11,,3339,1661,Childrens,32,131,September 30th 1982,1982,September 30th 1983,"Little, Brown Books for Young Readers",1450,Arthur's Halloween,6954,133,373
Jim Trelease,4.4,,2684,1618,Parenting,432,19,September 30th 1982,1982,July 25th 2006,Penguin Books,514,The Read-Aloud Handbook,4911,847,76
Anne Sexton,4.27,,6476,4306,Poetry,656,137,September 30th 1981,1981,April 28th 1999,Mariner Books,1791,The Complete Poems,13059,319,349
Marc Brown,4.15,,2543,1204,Childrens,32,89,September 30th 1980,1980,January 30th 1988,"Little, Brown Books for Young Readers",1029,Arthur's Valentine,5094,96,229
Ian McEwan,3.68,,9103,20366,Fiction,240,1021,September 2nd 2014,2014,September 9th 2014,Nan A. Talese,13892,The Children Act,48035,5477,3653
Chloe Neill,4.14,,16837,15022,Fantasy,357,418,September 2nd 2009,2009,October 6th 2009,Berkley Books,7091,Friday Night Bites,40731,1608,1363
Matthew Quick,4,PEN/Hemingway Foundation Award Nominee (2009),43533,56750,Fiction,289,1578,September 2nd 2008,2008,October 16th 2012,"Sarah Crichton Books / Farrar, Straus and Giroux",27024,The Silver Linings Playbook,134654,11344,5769
Kelley Armstrong,4.12,,12247,11958,Fantasy,528,148,September 2nd 2004,2004,March 27th 2007,Spectra Books,6124,Industrial Magic,31359,872,882
E.D. Baker,3.81,,7617,7500,Fantasy,215,646,September 2nd 2002,2002,October 7th 2004,Bloomsbury USA Childrens,6529,The Frog Princess,24139,1176,1847
Margaret Atwood,3.95,"Man Booker Prize (2000),Orange Prize Nominee for Fiction Shortlist (2001),Hammett Prize (2000),Puddly Award for New Novel (2001),International DUBLIN Literary Award Nominee (2002)",39235,45028,Fiction,637,2436,September 2nd 2000,2000,September 3rd 2001,Virago Press Ltd,24587,The Blind Assassin,117784,6411,6498
Nobuhiro Watsuki,4.33,,21993,10033,Sequential Art,201,640,September 2nd 1994,1994,October 22nd 2003,VIZ Media LLC,5025,"Rurouni Kenshin, Vol. 1: Meiji Swordsman Romantic Story",38887,311,1196
Toni Morrison,3.79,,83891,85015,Fiction,324,12845,September 2nd 1987,1987,June 8th 2004,Vintage,56539,Beloved,260531,8413,22241
Maureen Johnson,3.9,,13262,16420,Young Adult,372,987,September 29th 2011,2011,October 2nd 2012,Speak,9658,The Name of the Star,42814,4928,2487
Jeri Smith-Ready,3.86,,4657,4128,Young Adult,309,586,September 29th 2009,2009,May 4th 2010,Simon Pulse,2863,Shade,13140,1189,906
J.R. Ward,3.9,,14732,14445,Fantasy,474,1100,September 29th 2009,2009,October 29th 2009,Signet,10025,Covet,43226,2604,2924
Richard Castle,3.55,,11801,17278,Mystery,198,2006,September 29th 2008,2008,Jul-09,Hyperion Harper Collins,19300,Heat Wave,56470,4620,6085
Joe Hill,4.16,,26755,18189,Sequential Art,168,1966,September 29th 2008,2008,Feb-13,IDW Publishing,7531,"Locke & Key, Vol. 1: Welcome to Lovecraft",56662,3462,2221
Jan Brett,4.26,,9201,5289,Childrens,32,171,September 29th 1997,1997,1998,Macdonald Young,2924,The Hat,18113,298,528
Cameron Dokey,3.78,,2841,3943,Fantasy,221,223,September 29th 1997,1997,September 1st 2002,Simon Pulse,3106,The Storyteller's Daughter: A Retelling of the Arabian Nights,10816,707,703
Stephen King,3.91,,18424,24487,Horror,864,437,September 29th 1993,1993,1994,Hodder and Stoughton,17043,Nightmares and Dreamscapes,63147,1037,2756
Ken Follett,3.92,,2574,3686,Nonfiction,416,102,September 29th 1983,1983,December 7th 2004,NAL,2174,On Wings of Eagles,8950,438,414
Stephen King,3.86,,46957,55113,Horror,416,1774,September 29th 1980,1980,August 1st 1981,Berkley Books,44791,Firestarter,158105,2085,9470
Chelsea M. Cameron,4,,19419,19456,New Adult,400,1123,September 28th 2012,2012,August 27th 2013,Harlequin HQN,10563,My Favorite Mistake,53256,2446,2695
Joanne Harris,3.79,,2957,4419,Fiction,368,174,September 28th 1999,1999,December 23rd 2003,William Morrow Paperbacks,3368,Blackberry Wine,11707,742,789
Patrick Lencioni,4.01,,18857,18992,Business,227,1199,September 28th 1998,1998,April 11th 2002,Jossey-Bass,10070,The Five Dysfunctions of a Team: A Leadership Fable,51545,2438,2427
James Patterson,3.95,,17310,24172,Mystery,466,343,September 28th 1996,1996,August 1st 2003,Grand Central Publishing,14970,Jack & Jill,58804,1344,2009
Ken Follett,3.79,,3561,6689,Fiction,448,163,September 28th 1991,1991,April 6th 2004,NAL,4737,Night Over Water,16013,767,863
Melody Green,4.36,,2957,1605,Biography,382,53,September 28th 1989,1989,December 31st 2000,Harvest House Publishers,655,No Compromise,5380,208,110
Paul B. Thompson,3.66,,1577,1602,Fantasy,368,131,September 28th 1989,1989,February 1st 2003,Wizards of the Coast,1997,Darkness and Light,5920,49,613
Barbara Cohen,4.21,,1945,1405,Historical,224,57,September 28th 1982,1982,October 19th 1994,HarperTeen,645,Seven Daughters and Seven Sons,4177,402,125
James Dashner,3.86,,9579,9933,Young Adult,308,806,September 27th 2013,2013,October 8th 2013,Delacorte Books for Young Readers,6812,The Eye of Minds,29400,3814,2270
Jojo Moyes,3.96,,37745,42828,Historical,369,3998,September 27th 2012,2012,August 20th 2013,Pamela Dorman Books,20513,The Girl You Left Behind,110048,8447,4964
Andy Weir,4.4,,327671,192536,Novels,369,4553,September 27th 2012,2012,February 11th 2014,Crown,54532,The Martian,591282,64631,11990
Mike Mullin,3.96,,7369,7710,Young Adult,466,551,September 27th 2011,2011,October 11th 2011,Tanglewood Press,4257,Ashfall,20988,2717,1101
Lee Child,4.12,,22430,26283,Thriller,427,375,September 27th 2011,2011,September 29th 2011,Bantam Press,10790,The Affair,61379,3471,1501
Gregory Maguire,3.46,,9465,17258,Fantasy,352,1988,September 27th 2004,2004,September 26th 2006,William Morrow Paperbacks,18888,Son of a Witch,54631,3389,7032
Chris d'Lacey,3.76,,8167,7263,Fantasy,340,1038,September 27th 2001,2001,Mar-07,Scholastic Inc.,6236,The Fire Within,25060,1444,2356
Angela Carter,3.93,,2648,3155,Fiction,295,155,September 27th 1984,1984,March 4th 1986,Penguin Books,1741,Nights at the Circus,8213,649,514
Arthur C. Clarke,3.77,,5276,6449,Science Fiction,608,459,September 26th 1991,1991,Dec-93,Orbit,5267,The Garden of Rama,18943,292,1492
Salman Rushdie,3.72,"Man Booker Prize Nominee (1988),Whitbread Award for Novel (1988)",12553,15163,Fiction,561,2190,September 26th 1988,1988,1997,Picador USA,10493,The Satanic Verses,44448,3065,4049
Eric Carle,4.15,,2010,1260,Childrens,40,57,September 26th 1986,1986,August 20th 1991,Simon  Schuster Books for Young Readers,813,"Papa, Please Get the Moon for Me (The World of Eric Carle)",4327,231,187
Marion Dane Bauer,3.67,,1367,1432,Realistic Fiction,96,259,September 26th 1986,1986,September 1st 1987,Yearling,1224,On My Honor,4745,603,463
Jonathan Carroll,3.9,,1515,1834,Fantasy,256,90,September 26th 1980,1980,February 10th 2001,Orb Books,1112,The Land of Laughs,4849,397,298
Caroline Kepnes,3.84,,16124,20752,Thriller,432,1883,September 25th 2014,2014,September 30th 2014,Atria/Emily Bestler Books,11543,You,54080,9361,3778
Nina LaCour,3.98,"William C. Morris YA Debut Award Nominee (2010),Missouri Gateway Readers Award Nominee (2012)",6848,6267,Young Adult,230,490,September 25th 2009,2009,October 20th 2009,Dutton Books for Young Readers,3734,Hold Still,18311,1501,972
J.R. Ward,4.33,,57957,33120,Fantasy,502,678,September 25th 2007,2007,October 1st 2007,Signet,14299,Lover Unbound,108764,4439,2710
Neil Gaiman,4.01,,15229,21345,Fantasy,360,328,September 25th 2006,2006,September 26th 2006,William Morrow,10119,Fragile Things: Short Fictions and Wonders,48732,3246,1711
Susan Elizabeth Phillips,4.15,,11758,10999,Romance,400,222,September 25th 2004,2004,February 6th 2007,William Morrow,5034,Natural Born Charmer,28877,1456,864
Anthony Horowitz,4.06,,16184,15054,Young Adult,327,362,September 25th 2002,2002,February 16th 2006,Puffin Books,9130,Skeleton Key,42347,1264,1617
Clive Cussler,3.94,,4250,5793,Adventure,560,77,September 25th 1997,1997,October 1st 1998,Pocket,3813,Flood Tide,14465,272,532
Margaret Atwood,3.37,,4728,12902,Science Fiction,320,1438,September 24th 2015,2015,September 29th 2015,Nan A. Talese,14549,The Heart Goes Last,38805,5016,5188
Graeme Simsion,3.57,,12765,28530,Fiction,368,1309,September 24th 2014,2014,July 21st 2015,Simon  Schuster,27798,The Rosie Effect,77704,8833,7302
Kresley Cole,4.37,,24028,14055,Romance,359,266,September 24th 2007,2007,November 1st 2007,Pocket Star,5161,Wicked Deeds on a Winter's Night,44326,1393,816
Barbara Kingsolver,4.03,"Pulitzer Prize Nominee for Fiction (1999),Orange Prize Nominee for Fiction Shortlist (1999),Book Sense Book of the Year Award for Adult (2000),PEN/Faulkner Award for Fiction Nominee (1999),Independent Publisher Book Award (IPPY) for Audio Fiction - Unabridged (1999)",250079,182133,Historical,546,22038,September 24th 1998,1998,July 5th 2005,Harper Perennial Modern Classics,95229,The Poisonwood Bible,583944,20686,34465
Richard Bachman,3.67,,16191,18090,Horror,498,1782,September 24th 1996,1996,September 1st 1997,Signet,18477,The Regulators,60603,1032,6063
Stephen King,3.8,Locus Award for Best Dark Fantasy/Horror Novel (1997),30886,34408,Fiction,547,2329,September 24th 1996,1996,August 1st 1997,Signet Book,28030,Desperation,103914,1973,8261
Ken Follett,4.01,,8644,11330,Historical,596,245,September 24th 1993,1993,November 1st 1994,Dell,5656,A Dangerous Fortune,26819,1331,944
Dick Francis,4.02,,1644,2375,Mystery,368,15,September 24th 1984,1984,July 5th 2005,G.P. Putnam's Sons,1254,Proof,5396,199,108
Jojo Moyes,3.7,"Goodreads Choice Award Nominee for Fiction (2015),Woman & Home Reader's Choice Award for Book That Made Me Cry (2016),Βραβείο Βιβλίου Public for Μεταφρασμένο Μυθιστόρημα (Translator: Χρύσα Μπανιά) (2017)",43153,80715,Fiction,353,3508,September 23rd 2015,2015,September 29th 2015,Pamela Dorman Books,63084,After You,205802,18817,15342
Donna Tartt,3.89,"Pulitzer Prize for Fiction (2014),Audie Award for Literary Fiction (2014),National Book Critics Circle Award Nominee for Fiction (2013),Women's Prize for Fiction Nominee (2014),Andrew Carnegie Medal for Fiction (2014)",184074,169391,Fiction,771,21131,September 23rd 2013,2013,October 22nd 2013,"Little, Brown",102223,The Goldfinch,515449,47268,38630
Stephen Hawking,4.2,,10577,9330,Science,176,249,September 23rd 2005,2005,September 27th 2005,Bantam,3762,A Briefer History of Time,24513,994,595
Neal Stephenson,3.92,"Locus Award Nominee for Best Science Fiction Novel (2004),Arthur C. Clarke Award for Best Novel (2004)",11455,11144,Fiction,927,1038,September 23rd 2003,2003,September 21st 2004,Harper Perennial,6112,Quicksilver,32120,1871,2371
Tamora Pierce,4.28,,25450,16015,Fantasy,448,471,September 23rd 2003,2003,October 31st 2017,Ember,7252,Trickster's Choice,50609,1227,1421
Cornelia Funke,3.86,,104295,102621,Young Adult,548,8743,September 23rd 2003,2003,June 1st 2005,Scholastic Paperbacks,73806,Inkheart,313082,10803,23617
M.T. Anderson,3.54,,10995,15329,Young Adult,308,2999,September 23rd 2002,2002,February 23rd 2004,Candlewick Press,12928,Feed,47808,5870,5557
Charlaine Harris,3.95,,9086,12026,Mystery,280,194,September 22nd 2007,2007,September 25th 2007,Berkley,7436,An Ice Cold Grave,29972,1383,1230
Sena Jeter Naslund,4.03,,15908,13063,Historical,704,1109,September 22nd 1999,1999,August 2nd 2005,William Morrow Paperbacks,7053,"Ahab's Wife, or The Star-Gazer",39323,2476,2190
Fannie Flagg,3.85,,5357,8346,Fiction,480,206,September 22nd 1998,1998,February 27th 2001,Ballantine Books,5732,"Welcome to the World, Baby Girl!",20733,1041,1092
Stephen King,3.88,"Bram Stoker Award for Best Novel (1998),Locus Award for Best Dark Fantasy/Horror Novel (1999),British Fantasy Award for Best Novel (1999)",47491,49670,Horror,736,2566,September 22nd 1998,1998,Jun-99,Pocket Books,37589,Bag of Bones,147142,3316,9826
Kip S. Thorne,4.17,,4179,2664,Science,624,153,September 22nd 1994,1994,January 17th 1995,W. W. Norton  Company,1501,Black Holes & Time Warps: Einstein's Outrageous Legacy,8867,146,370
Kalayna Price,3.95,,7781,10427,Fantasy,325,412,September 21st 2010,2010,October 5th 2010,Roc,5535,Grave Witch,25234,1716,1079
Stephen King,4.28,,60464,34667,Fantasy,1050,1759,September 21st 2004,2004,September 1st 2006,Pocket Books,14780,The Dark Tower,115764,4554,4094
Kelley Armstrong,4.05,,33821,26406,Fantasy,436,1940,September 21st 2001,2001,September 7th 2004,Plume Books,15093,Bitten,81600,4141,4340
Masashi Kishimoto,4.36,,69668,24985,Fantasy,187,2317,September 21st 1999,1999,August 6th 2003,VIZ Media,13957,"Naruto, Vol. 01: Uzumaki Naruto",114800,1358,3873
Martin Handford,4.11,,2792,1440,Childrens,32,91,September 21st 1987,1987,April 10th 2007,Candlewick Press,1203,Where's Waldo?,5855,200,329
Katsuhiro Otomo,4.36,Kodansha Manga Award for General Manga (1984),10121,5673,Sequential Art,359,195,September 21st 1984,1984,December 26th 2000,Dark Horse,2040,"Akira, Vol. 1",18424,584,395
Esmeralda Santiago,4,,3005,3318,Autobiography,274,121,September 20th 1993,1993,October 11th 1994,Vintage Books USA,1891,When I Was Puerto Rican,8731,571,396
Ian McEwan,3.7,,6815,11339,Fiction,208,878,September 1st 2016,2016,September 13th 2016,Nan A. Talese,7965,Nutshell,29514,4109,2517
Patrick Ness,4.02,,12922,13668,Young Adult,480,644,September 1st 2013,2013,May 1st 2014,Walker Books Ltd,6606,More Than This,35650,5804,1810
Cinda Williams Chima,4.34,,19183,13850,Fantasy,586,255,September 1st 2010,2010,September 24th 2010,Hyperion Books,4206,The Exiled Queen,38161,2194,667
Charlaine Harris,3.89,,8657,12904,Mystery,295,192,September 1st 2006,2006,September 26th 2006,Berkley Prime Crime,8999,Grave Surprise,32129,1248,1377
Patricia McCormick,4.2,,17797,15889,Young Adult,268,307,September 1st 2006,2006,September 15th 2006,Disney-Hyperion,6327,Sold,41446,5164,1126
Nalini Singh,4.12,,22634,16837,Fantasy,334,1223,September 1st 2006,2006,September 5th 2006,Berkley Sensation,8567,Slave to Sensation,51338,3181,2077
Gene Luen Yang,3.88,,17005,21121,Sequential Art,240,1371,September 1st 2006,2006,September 5th 2006,First Second,12918,American Born Chinese,55826,6439,3411
Joan Didion,3.87,,34828,38926,Nonfiction,227,2831,September 1st 2005,2005,February 13th 2007,Vintage,24366,The Year of Magical Thinking,108905,8369,7954
Bev Vincent,4.29,,19416,8131,Fantasy,368,795,September 1st 2004,2004,September 28th 2004,NAL,4726,The Road to the Dark Tower: Exploring Stephen King's Magnum Opus,34192,79,1124
Frank Beddor,3.93,Lincoln Award Nominee (2012),13205,14249,Fantasy,364,845,September 1st 2004,2004,September 26th 2006,Dial Books,8564,The Looking Glass Wars,39234,3629,2371
Jonathan Stroud,4.1,,30964,28319,Fantasy,562,1500,September 1st 2004,2004,January 1st 2006,Disney-Hyperion,13529,The Golem's Eye,77024,1767,2712
Meg Cabot,3.69,,7549,9618,Young Adult,275,459,September 1st 2003,2003,March 29th 2005,HarperTrophy,10481,Princess in Pink,30684,688,2577
Robin McKinley,3.85,,11198,10175,Paranormal,405,1172,September 1st 2003,2003,November 30th 2004,Jove,6878,Sunshine,32183,3788,2760
